Model,GHS_Column,Pictogram_Code,Actual_Meaning,Threshold_Type,Threshold_Value,N_Test,N_Test_Positive,AUC_ROC,Average_Precision,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP,AUC_bootstrap_mean,AUC_CI95_lower,AUC_CI95_upper
RandomForest,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),safety_recall90,0.37313,24352,1360,0.8645,0.3053,0.2326,0.2605,0.1338,0.8875,0.6603,15181,7811,153,1207,0.8648,0.8559,0.8733
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),default_0.5,0.5,24352,1773,0.8637,0.3834,0.3791,0.3644,0.2538,0.749,0.8271,18674,3905,445,1328,0.8637,0.8553,0.8721
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),calibrated_F1,0.664859,24352,1773,0.8637,0.3834,0.4149,0.3662,0.3812,0.4552,0.942,21269,1310,966,807,0.8637,0.8553,0.8721
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),safety_recall90,0.412591,24352,1773,0.8637,0.3834,0.3318,0.3325,0.2072,0.8319,0.7501,16936,5643,298,1475,0.8637,0.8553,0.8721
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),default_0.5,0.5,24352,18,0.9859,0.1507,0.0785,0.1713,0.0415,0.7222,0.9877,24034,300,5,13,0.986,0.9743,0.9953
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),calibrated_F1,0.912269,24352,18,0.9859,0.1507,0.1818,0.2355,0.5,0.1111,0.9999,24332,2,16,2,0.986,0.9743,0.9953
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),safety_recall90,0.067481,24352,18,0.9859,0.1507,0.0022,0.019,0.0011,1.0,0.3274,7966,16368,0,18,0.986,0.9743,0.9953
XGBoost,GHS02_Flammable,GHS02,Flammable (flame),default_0.5,0.5,24352,1063,0.9708,0.7552,0.5427,0.5638,0.3907,0.8881,0.9368,21817,1472,119,944,0.9707,0.9654,0.9751
XGBoost,GHS02_Flammable,GHS02,Flammable (flame),calibrated_F1,0.891765,24352,1063,0.9708,0.7552,0.7071,0.694,0.7173,0.6971,0.9875,22997,292,322,741,0.9707,0.9654,0.9751
XGBoost,GHS02_Flammable,GHS02,Flammable (flame),safety_recall90,0.535326,24352,1063,0.9708,0.7552,0.5607,0.5776,0.4115,0.8796,0.9426,21952,1337,128,935,0.9707,0.9654,0.9751
XGBoost,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),default_0.5,0.5,24352,41,0.9267,0.5438,0.4355,0.4616,0.3253,0.6585,0.9977,24255,56,14,27,0.9289,0.8617,0.9807
XGBoost,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),calibrated_F1,0.978498,24352,41,0.9267,0.5438,0.5797,0.5897,0.7143,0.4878,0.9997,24303,8,21,20,0.9289,0.8617,0.9807
XGBoost,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),safety_recall90,0.040324,24352,41,0.9267,0.5438,0.2357,0.3228,0.1396,0.7561,0.9921,24120,191,10,31,0.9289,0.8617,0.9807
XGBoost,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),default_0.5,0.5,24352,28,0.9951,0.8092,0.6667,0.6887,0.5319,0.8929,0.9991,24302,22,3,25,0.9952,0.9841,0.9999
XGBoost,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),calibrated_F1,0.969746,24352,28,0.9951,0.8092,0.7368,0.7366,0.7241,0.75,0.9997,24316,8,7,21,0.9952,0.9841,0.9999
XGBoost,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),safety_recall90,0.730721,24352,28,0.9951,0.8092,0.7188,0.7241,0.6389,0.8214,0.9995,24311,13,5,23,0.9952,0.9841,0.9999
XGBoost,GHS05_Corrosive,GHS05,Corrosive (corrosion),default_0.5,0.5,24352,4333,0.8924,0.7373,0.6304,0.545,0.5501,0.7381,0.8694,17404,2615,1135,3198,0.8924,0.8868,0.8979
XGBoost,GHS05_Corrosive,GHS05,Corrosive (corrosion),calibrated_F1,0.637968,24352,4333,0.8924,0.7373,0.6654,0.5956,0.6837,0.648,0.9351,18720,1299,1525,2808,0.8924,0.8868,0.8979
XGBoost,GHS05_Corrosive,GHS05,Corrosive (corrosion),safety_recall90,0.258556,24352,4333,0.8924,0.7373,0.5009,0.4122,0.3452,0.9128,0.6252,12516,7503,378,3955,0.8924,0.8868,0.8979
XGBoost,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),default_0.5,0.5,24352,1520,0.8296,0.3262,0.3353,0.3144,0.2273,0.6388,0.8555,19532,3300,549,971,0.8297,0.818,0.8402
XGBoost,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),calibrated_F1,0.633534,24352,1520,0.8296,0.3262,0.3612,0.3162,0.3352,0.3914,0.9483,21652,1180,925,595,0.8297,0.818,0.8402
XGBoost,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),safety_recall90,0.30901,24352,1520,0.8296,0.3262,0.2049,0.21,0.116,0.8803,0.5533,12632,10200,182,1338,0.8297,0.818,0.8402
XGBoost,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),default_0.5,0.5,24352,21967,0.8336,0.9765,0.8611,0.3401,0.9638,0.7781,0.7308,1743,642,4874,17093,0.8333,0.8261,0.8412
XGBoost,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),calibrated_F1,0.111349,24352,21967,0.8336,0.9765,0.9502,0.202,0.9083,0.9962,0.0734,175,2210,83,21884,0.8333,0.8261,0.8412
XGBoost,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),safety_recall90,0.295102,24352,21967,0.8336,0.9765,0.9281,0.3268,0.9371,0.9193,0.4314,1029,1356,1772,20195,0.8333,0.8261,0.8412
XGBoost,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),default_0.5,0.5,24352,1360,0.9004,0.4518,0.3806,0.3833,0.2558,0.7434,0.8721,20051,2941,349,1011,0.9006,0.8927,0.9081
XGBoost,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),calibrated_F1,0.782329,24352,1360,0.9004,0.4518,0.4668,0.4341,0.4406,0.4963,0.9627,22135,857,685,675,0.9006,0.8927,0.9081
XGBoost,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),safety_recall90,0.270562,24352,1360,0.9004,0.4518,0.2765,0.3097,0.1638,0.8875,0.732,16830,6162,153,1207,0.9006,0.8927,0.9081
XGBoost,GHS09_Environmental,GHS09,Environmental hazard (environment),default_0.5,0.5,24352,1773,0.8969,0.4586,0.4334,0.418,0.3039,0.7552,0.8642,19512,3067,434,1339,0.8969,0.8903,0.9033
XGBoost,GHS09_Environmental,GHS09,Environmental hazard (environment),calibrated_F1,0.792764,24352,1773,0.8969,0.4586,0.474,0.4307,0.4359,0.5195,0.9472,21387,1192,852,921,0.8969,0.8903,0.9033
XGBoost,GHS09_Environmental,GHS09,Environmental hazard (environment),safety_recall90,0.295801,24352,1773,0.8969,0.4586,0.371,0.3775,0.2367,0.8573,0.7829,17677,4902,253,1520,0.8969,0.8903,0.9033
SVM,GHS01_Explosive,GHS01,Explosive (exploding bomb),default_0.5,0.5,24352,18,0.9822,0.4446,0.3509,0.3768,0.2564,0.5556,0.9988,24305,29,8,10,0.9824,0.959,0.9984
SVM,GHS01_Explosive,GHS01,Explosive (exploding bomb),calibrated_F1,0.922207,24352,18,0.9822,0.4446,0.3636,0.4713,1.0,0.2222,1.0,24334,0,14,4,0.9824,0.959,0.9984
SVM,GHS01_Explosive,GHS01,Explosive (exploding bomb),safety_recall90,0.000997,24352,18,0.9822,0.4446,0.0029,0.0271,0.0015,1.0,0.4993,12149,12185,0,18,0.9824,0.959,0.9984
