GHS_Column,RandomForest,RandomForest_NoClassWeight,SVM,XGBoost
GHS01_Explosive,0.1379,0.4167,0.3636,0.1818
GHS02_Flammable,0.589,0.6591,0.5528,0.7071
GHS03_Oxidising,0.42,0.4262,0.3621,0.5797
GHS04_CompressedGas,0.4889,0.5783,0.5763,0.7368
GHS05_Corrosive,0.5901,0.6504,0.5915,0.6654
GHS06_AcuteToxicity,0.3162,0.337,0.264,0.3612
GHS07_Irritant,0.9491,0.9504,0.9485,0.9502
GHS08_HealthHazard,0.363,0.4314,0.3392,0.4668
GHS09_Environmental,0.4149,0.4638,0.3688,0.474
