Feature,GHS01_Explosive,GHS02_Flammable,GHS03_Oxidising,GHS04_CompressedGas,GHS05_Corrosive,GHS06_AcuteToxicity,GHS07_Irritant,GHS08_HealthHazard,GHS09_Environmental,Mean_across_all_classes
Morgan_694,0.024478706,0.010295128,0.16530804,0.025987986,0.042668127,0.008423482,0.017079135,0.017918479,0.004493156,0.035183582
MACCS_65,0.00014889812,0.04908877,0.01616562,0.0,0.0054324665,0.023624923,0.077758364,0.013168758,0.12930869,0.034966275
MACCS_158,0.0075626257,0.0057589477,0.027383422,0.14755441,0.066705264,0.009335288,0.012897488,0.02061925,0.006469977,0.03380963
MACCS_146,0.0001575498,0.003907232,0.26138297,0.005986317,0.017744636,0.004095494,0.0007936211,0.002974344,0.0019982595,0.03322671
Morgan_80,0.00073357805,0.0039904523,0.18318425,0.0557791,0.021188984,0.006232186,0.003870791,0.0053059123,0.010703779,0.03233211
MACCS_132,0.00048204226,0.02475565,0.07359716,0.11645752,0.0042264424,0.004224059,0.02533672,0.029596468,0.0046596783,0.031481754
MACCS_155,0.0013110583,0.008747493,0.17690298,0.012418196,0.059508525,0.0020954811,0.008531579,0.00057301973,0.0058142566,0.03065584
MACCS_156,0.035559244,0.0034553278,0.11125793,0.09116892,0.009811545,0.0013855476,0.010880301,0.007140538,0.0041828775,0.030538026
MACCS_46,7.5867e-05,0.043771986,0.0072885733,0.018494856,0.02205298,0.015854148,0.021539005,0.057296693,0.085896246,0.030252261
HeavyAtomCount,0.0010813856,0.020665681,0.06024271,0.14190377,0.004110902,0.0017883162,0.003946997,0.008073515,0.018114807,0.028880898
MACCS_18,0.008554491,0.0054288446,0.06771861,0.0061445506,0.0005250753,0.0137367975,0.014644716,0.037314944,0.10317414,0.028582463
MACCS_119,0.0078909835,0.050854057,0.0061119646,0.00057663786,0.003658478,0.051779084,0.015587886,0.115360975,0.005197069,0.028557463
MACCS_106,0.006236917,0.0315771,0.051611956,0.1304436,0.0047678105,0.0050207684,0.012839204,0.004572206,0.008748603,0.02842424
MACCS_160,9.7106145e-05,0.012191581,0.0830997,0.14208621,0.001190694,0.0032098677,0.004148077,0.00330171,0.0039453525,0.028141145
Morgan_893,0.0026374157,0.0047140596,0.052548397,0.02613163,0.0049022967,0.01664948,0.01526761,0.09902166,0.025704972,0.027508613
MACCS_142,0.16622557,0.0037427822,0.011214005,0.0010661834,0.03292154,0.0049832636,0.006803905,0.0036618619,0.008134108,0.026528133
MACCS_123,0.0014603358,0.009226863,0.052095972,0.019374575,0.010543212,0.05055164,0.04864402,0.04005068,0.002927743,0.026097229
MACCS_96,0.009321433,0.008289301,0.09251258,0.0,0.068252474,0.0119108,0.0027757725,0.015735721,0.020277485,0.02545284
Morgan_695,0.0034509588,0.051776584,0.14623378,0.0033596638,0.0018545077,0.000914109,0.0058257408,0.0029104727,0.0024033072,0.024303237
MACCS_103,0.0,0.12014738,0.01037442,0.03641777,0.042335015,0.002575876,0.004281618,0.0011921405,0.001118358,0.024271399
MACCS_41,0.00043926178,0.045649666,0.004409325,0.01542788,0.032546926,0.09088264,0.00020526651,0.025812343,0.0016344638,0.024111975
MACCS_164,0.0017504507,0.011702152,0.05514427,0.012498384,0.019173447,0.077374734,0.02986469,0.0024113003,0.0023981484,0.023590842
MACCS_104,0.0029574735,0.0045303,0.1495285,0.006102665,0.023099026,0.009801893,0.0019141565,0.010224079,0.0033371444,0.02349947
MACCS_157,0.00062718056,0.0060599586,0.029641477,0.07827429,0.033135563,0.035442557,0.017143935,0.0022813962,0.0039016393,0.022945335
Morgan_659,0.00022276766,0.01798372,0.070543356,0.017685814,0.0708675,0.0018799745,0.011544982,0.009874805,0.00587978,0.022942523
MACCS_151,0.026458692,0.021259556,0.054920528,0.008294667,0.067597024,0.005959345,0.012445441,0.0034417196,0.005369975,0.022860773
MACCS_87,0.0001054111,0.040551323,0.0503055,0.0,0.05789379,0.00407968,0.034522954,0.012288442,0.004157229,0.022656035
Morgan_389,0.00036838045,0.022152366,0.03331788,0.0,0.017985297,0.004011257,0.022660261,0.031610537,0.0716096,0.022635065
Morgan_128,0.030807452,0.0025859715,0.10809925,0.039726987,0.0026693353,0.0031502445,0.002479148,0.0066173333,0.0022926247,0.022047594
MACCS_107,0.0029991334,0.0046269777,0.15115187,0.0022306684,0.007958003,0.0013603639,0.006892143,0.017637834,0.0015978824,0.02182832
MACCS_83,0.05549839,0.009905098,0.05477072,0.0,0.014938478,0.0030890296,0.008253942,0.0352866,0.011381722,0.02145822
MACCS_149,0.009349142,0.08165772,0.053687256,0.025928926,0.0015522301,0.002479104,0.008851992,0.0041348822,0.00481468,0.021383993
MACCS_166,0.0002606582,0.0077717677,0.011782136,0.1224517,0.03069623,0.00039795987,0.006670664,0.0043896013,0.0072141597,0.021292765
MACCS_112,0.00056469033,0.055202734,0.088464394,0.013935018,0.0015505973,0.0022670806,0.0035594897,0.0058707884,0.010653886,0.020229854
Morgan_807,0.00072951906,0.0054888455,0.07036337,0.068248235,0.013116129,0.0035154582,0.0044603087,0.0050423774,0.0055638864,0.019614236
MACCS_117,0.030290332,0.0072952523,0.010736641,0.0069261836,0.09680617,0.0065144696,0.0048689726,0.0079787765,0.0028731085,0.019365545
Morgan_849,0.00025168998,0.0038616613,0.020195993,0.1198415,0.016815348,0.0010275521,0.0008820321,0.0013692062,0.006694343,0.01899326
MACCS_84,0.0007890846,0.004972809,0.058453333,0.013008519,0.062640734,0.00069104054,0.008676857,0.0068317503,0.01436872,0.018936982
Morgan_728,0.0,0.048371732,0.008436797,0.04446388,0.015613335,0.0037938273,0.012829275,0.011081045,0.021860478,0.018494485
MACCS_161,0.028044418,0.04713827,0.03507506,0.018353287,0.01425134,0.011898999,0.0041445782,0.0025534378,0.0033901122,0.018316612
Morgan_725,0.001100743,0.0041823303,0.013215776,0.0010788398,0.0014034011,0.019834641,0.025230449,0.094817966,0.002538972,0.018155903
Morgan_904,0.010658383,0.020264845,0.024196075,0.04852028,0.0011612031,0.0022605904,0.014219983,0.028571565,0.0131865,0.018115493
Morgan_926,0.00067136076,0.011411795,0.0,0.042270992,0.013175084,0.040315155,0.025971072,0.022631768,0.0016759378,0.017569238
MACCS_148,0.060743704,0.023700606,0.026223343,0.018213257,0.00620068,0.0016616298,0.011676571,0.002156844,0.0073293205,0.017545106
MACCS_93,0.013994525,0.01858517,0.06422398,0.029345896,0.00570548,0.004684526,0.004935847,0.0063295923,0.008789876,0.017399434
MACCS_91,0.0049158214,0.007609451,0.07433921,0.0,0.0016041604,0.0051074442,0.004982093,0.013509122,0.042669237,0.01719295
