GHS_Column,RandomForest,RandomForest_NoClassWeight,SVM,XGBoost
GHS01_Explosive,0.1416,0.4809,0.4713,0.2355
GHS02_Flammable,0.5702,0.6433,0.5398,0.694
GHS03_Oxidising,0.4258,0.4534,0.3773,0.5897
GHS04_CompressedGas,0.5038,0.611,0.5765,0.7366
GHS05_Corrosive,0.4961,0.5766,0.4963,0.5956
GHS06_AcuteToxicity,0.2669,0.2966,0.21,0.3162
GHS07_Irritant,0.1748,0.24,0.0281,0.202
GHS08_HealthHazard,0.324,0.4099,0.2977,0.4341
GHS09_Environmental,0.3662,0.4196,0.3173,0.4307
