n_train,GHS01_Explosive,ap_GHS01,npos_GHS01,GHS02_Flammable,ap_GHS02,npos_GHS02,GHS03_Oxidising,ap_GHS03,npos_GHS03,GHS04_CompressedGas,GHS05_Corrosive,ap_GHS05,npos_GHS05,GHS06_AcuteToxicity,ap_GHS06,npos_GHS06,GHS07_Irritant,ap_GHS07,npos_GHS07,GHS08_HealthHazard,ap_GHS08,npos_GHS08,GHS09_Environmental,ap_GHS09,npos_GHS09,mean_auc,minutes,ap_GHS04,npos_GHS04
32000,0.8128451178451179,0.09496079738875199,13,0.9273456104311905,0.674821054157077,784,0.9093080092255867,0.2244786263856592,8,,0.8329480145467844,0.6489989229181692,5467,0.7469140874445928,0.2525761542817193,1735,0.7382820057589907,0.934316137509854,29416,0.7917449460047848,0.3610875186241026,1306,0.7901130922394707,0.3541353337627105,2208,0.8186876104370648,1.6,,
64000,0.9194076568150642,0.19890349420411632,31,0.9352723258879156,0.6792278421773073,1548,0.9538822350036367,0.35388492378627784,17,,0.841049481415264,0.6574232007008487,10850,0.764619659058864,0.2897654339670481,3452,0.7387967612543274,0.9349972172089753,58852,0.8141522495996883,0.3960006077798019,2740,0.8082557991643923,0.3681422624760469,4399,0.846929521024894,2.93,,
128000,0.9014453173712433,0.1337465506172888,73,0.9391933377427013,0.6993594700660096,3074,0.9706409342341997,0.3906118100862817,47,0.9206419001869459,0.8522712690850357,0.6677399184304946,21704,0.7757021904424961,0.31968646863661293,6976,0.7520680721558166,0.9385823951562217,117811,0.8290506780374084,0.42155426663042145,5499,0.8288769854436462,0.38950836407399786,8715,0.8633211871888327,6.74,0.2009795814848889,4.0
194658,0.904652699837885,0.12846603229433892,114,0.940308930598502,0.6835015836156565,4731,0.9703235654404164,0.4954577220904646,69,0.9670009529620832,0.8590177263538565,0.6763283385203328,33098,0.7867286315488016,0.3233609026641813,10692,0.7616784423278957,0.9417066672979031,179197,0.836490171311663,0.424460763486877,8314,0.8376530240366041,0.39054037657703156,13228,0.8737615716019674,9.16,0.3095008397353233,8.0
